    1.841448, 1.889756, 1.937975, 1.985742, 2.03269, 2.078353, 2.122436, 
    2.164475, 2.204047, 2.240765, 2.27427, 2.304229, 2.330213, 2.351793, 
    2.368535, 2.380245, 2.386326, 2.386488, 2.380443, 2.367593, 2.347745, 
    2.320065, 2.282054, 2.233686, 2.175748, 2.10912, 2.03451, 1.952705, 
    1.864519, 1.770647, 1.671984, 1.569308, 1.463274, 1.354877, 1.244803, 
    1.133859, 1.022734, 0.9124212, 0.8036242, 0.6970447, 0.5936853, 
    0.4942315, 0.3995065, 0.3102296, 0.2273802, 0.1516823, 0.08389375, 
    0.02496077, -0.02438968, -0.06343231, -0.09440104, -0.1186785, 
    -0.1366652, -0.1486742, -0.1549834, -0.1559251, -0.1519782, -0.1432307, 
    -0.1302466, -0.113306, -0.09261498, -0.06853393, -0.04171491, 
    -0.01210246, 0.01968423, 0.05338027, 0.08841506, 0.124742, 0.1617776, 
    0.199129, 0.2365499, 0.273239, 0.3091652, 0.3438365, 0.3765567, 
    0.4070352, 0.4350484, 0.4598521, 0.481712, 0.5011615, 0.5184752, 
    0.5337821, 0.5474248, 0.5596069, 0.5704657, 0.5798894, 0.5887591, 
    0.5968426, 0.6046237, 0.6120423, 0.6195885, 0.6274061, 0.6360228, 
    0.6452919, 0.6557664, 0.6676436, 0.6812811, 0.6971194, 0.7151508, 
    0.7361405, 0.7600595, 0.7876399, 0.8189317, 0.8545892, 0.8948158, 
    0.9402894,
  1.493634, 1.545253, 1.595577, 1.643638, 1.688937, 1.730928, 1.769279, 
    1.804786, 1.842025, 1.881554, 1.92275, 1.965246, 2.008694, 2.052716, 
    2.097057, 2.141049, 2.184722, 2.227388, 2.268722, 2.308502, 2.346362, 
    2.381817, 2.414541, 2.444279, 2.470574, 2.493175, 2.511575, 2.525566, 
    2.534811, 2.538849, 2.5374, 2.530007, 2.516428, 2.49639, 2.469374, 
    2.434832, 2.389932, 2.334594, 2.269736, 2.196069, 2.11427, 2.025198, 
    1.9296, 1.82838, 1.72211, 1.61169, 1.49788, 1.381554, 1.263323, 1.144053, 
    1.024542, 0.9056816, 0.7880521, 0.6725683, 0.5600016, 0.4512575, 
    0.346945, 0.2479881, 0.1551317, 0.06922344, -0.008860416, -0.07851311, 
